"","Id","class_0","class_1"
"1",1,0.5,0.5
"2",2,0.5,0.5
"3",3,0.5,0.5
"4",4,0.5,0.5
"5",5,0.5,0.5
"6",6,0.5,0.5
"7",7,0.5,0.5
"8",8,0.5,0.5
"9",9,0.5,0.5
"10",10,0.5,0.5
"11",11,0.5,0.5
"12",12,0.5,0.5
"13",13,0.5,0.5
"14",14,0.5,0.5
"15",15,0.5,0.5
"16",16,0.5,0.5
"17",17,0.5,0.5
"18",18,0.5,0.5
"19",19,0.5,0.5
"20",20,0.5,0.5
"21",21,0.5,0.5
"22",22,0.5,0.5
"23",23,0.5,0.5
"24",24,0.5,0.5
"25",25,0.5,0.5
"26",26,0.5,0.5
"27",27,0.5,0.5
"28",28,0.5,0.5
"29",29,0.5,0.5
"30",30,0.5,0.5
"31",31,0.5,0.5
"32",32,0.5,0.5
"33",33,0.5,0.5
"34",34,0.5,0.5
"35",35,0.5,0.5
"36",36,0.5,0.5
"37",37,0.5,0.5
"38",38,0.5,0.5
"39",39,0.5,0.5
"40",40,0.5,0.5
"41",41,0.5,0.5
"42",42,0.5,0.5
"43",43,0.5,0.5
"44",44,0.5,0.5
"45",45,0.5,0.5
"46",46,0.5,0.5
"47",47,0.5,0.5
"48",48,0.5,0.5
"49",49,0.5,0.5
"50",50,0.5,0.5
"51",51,0.5,0.5
"52",52,0.5,0.5
"53",53,0.5,0.5
"54",54,0.5,0.5
"55",55,0.5,0.5
"56",56,0.5,0.5
"57",57,0.5,0.5
"58",58,0.5,0.5
"59",59,0.5,0.5
"60",60,0.5,0.5
"61",61,0.5,0.5
"62",62,0.5,0.5
"63",63,0.5,0.5
"64",64,0.5,0.5
"65",65,0.5,0.5
"66",66,0.5,0.5
"67",67,0.5,0.5
"68",68,0.5,0.5
"69",69,0.5,0.5
"70",70,0.5,0.5
"71",71,0.5,0.5
"72",72,0.5,0.5
"73",73,0.5,0.5
"74",74,0.5,0.5
"75",75,0.5,0.5
"76",76,0.5,0.5
"77",77,0.5,0.5
"78",78,0.5,0.5
"79",79,0.5,0.5
"80",80,0.5,0.5
"81",81,0.5,0.5
"82",82,0.5,0.5
"83",83,0.5,0.5
"84",84,0.5,0.5
"85",85,0.5,0.5
"86",86,0.5,0.5
"87",87,0.5,0.5
"88",88,0.5,0.5
"89",89,0.5,0.5
"90",90,0.5,0.5
"91",91,0.5,0.5
"92",92,0.5,0.5
"93",93,0.5,0.5
"94",94,0.5,0.5
"95",95,0.5,0.5
"96",96,0.5,0.5
"97",97,0.5,0.5
"98",98,0.5,0.5
"99",99,0.5,0.5
"100",100,0.5,0.5
"101",101,0.5,0.5
"102",102,0.5,0.5
"103",103,0.5,0.5
"104",104,0.5,0.5
"105",105,0.5,0.5
"106",106,0.5,0.5
"107",107,0.5,0.5
"108",108,0.5,0.5
"109",109,0.5,0.5
"110",110,0.5,0.5
"111",111,0.5,0.5
"112",112,0.5,0.5
"113",113,0.5,0.5
"114",114,0.5,0.5
"115",115,0.5,0.5
"116",116,0.5,0.5
"117",117,0.5,0.5
"118",118,0.5,0.5
"119",119,0.5,0.5
"120",120,0.5,0.5
"121",121,0.5,0.5
"122",122,0.5,0.5
"123",123,0.5,0.5
"124",124,0.5,0.5
"125",125,0.5,0.5
"126",126,0.5,0.5
"127",127,0.5,0.5
"128",128,0.5,0.5
"129",129,0.5,0.5
"130",130,0.5,0.5
"131",131,0.5,0.5
"132",132,0.5,0.5
"133",133,0.5,0.5
"134",134,0.5,0.5
"135",135,0.5,0.5
"136",136,0.5,0.5
"137",137,0.5,0.5
"138",138,0.5,0.5
"139",139,0.5,0.5
"140",140,0.5,0.5
"141",141,0.5,0.5
"142",142,0.5,0.5
"143",143,0.5,0.5
"144",144,0.5,0.5
"145",145,0.5,0.5
"146",146,0.5,0.5
"147",147,0.5,0.5
"148",148,0.5,0.5
"149",149,0.5,0.5
"150",150,0.5,0.5
"151",151,0.5,0.5
"152",152,0.5,0.5
"153",153,0.5,0.5
"154",154,0.5,0.5
